Summary of parameters for genome-wide cytosine report:
==============================================================================
Coverage infile:				output/25-meth-extract/93M_pe.deduplicated.bismark.cov.gz
Output directory:				><
Parent directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/<
Genome directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/output/22-genome-prep/<
Coverage threshold				0 (all positions will be reported, default)
CX context:					no (CpG context only, default)
Pooling CpG top/bottom strand evidence:		yes
Genome coordinates used:			0-based (user specified)
GZIP compression:				no
Writing cytosine report for chromosome NW_026963781.1 (stored 2085 different covered positions)
Writing cytosine report for chromosome NW_026963782.1 (stored 234 different covered positions)
Writing cytosine report for chromosome NW_026963783.1 (stored 62 different covered positions)
Writing cytosine report for chromosome NW_026963784.1 (stored 1902 different covered positions)
Writing cytosine report for chromosome NW_026963785.1 (stored 719 different covered positions)
Writing cytosine report for chromosome NW_026963786.1 (stored 43 different covered positions)
Writing cytosine report for chromosome NW_026963787.1 (stored 337 different covered positions)
Writing cytosine report for chromosome NW_026963788.1 (stored 52 different covered positions)
Writing cytosine report for chromosome NW_026963789.1 (stored 2349 different covered positions)
Writing cytosine report for chromosome NW_026963790.1 (stored 18 different covered positions)
Writing cytosine report for chromosome NW_026963793.1 (stored 17 different covered positions)
Writing cytosine report for chromosome NW_026963794.1 (stored 12 different covered positions)
Writing cytosine report for chromosome NW_026963795.1 (stored 428 different covered positions)
Writing cytosine report for chromosome NW_026963796.1 (stored 35 different covered positions)
Writing cytosine report for chromosome NW_026963797.1 (stored 1657 different covered positions)
Writing cytosine report for chromosome NW_026963798.1 (stored 32 different covered positions)
Writing cytosine report for chromosome NW_026963800.1 (stored 1448 different covered positions)
Writing cytosine report for chromosome NW_026963801.1 (stored 3243 different covered positions)
Writing cytosine report for chromosome NW_026963802.1 (stored 11 different covered positions)
Writing cytosine report for chromosome NW_026963803.1 (stored 129 different covered positions)
Writing cytosine report for chromosome NW_026963804.1 (stored 1452 different covered positions)
Writing cytosine report for chromosome NW_026963805.1 (stored 181 different covered positions)
Writing cytosine report for chromosome NW_026963806.1 (stored 32 different covered positions)
Writing cytosine report for chromosome NW_026963807.1 (stored 77 different covered positions)
Writing cytosine report for chromosome NW_026963808.1 (stored 2285 different covered positions)
Writing cytosine report for chromosome NW_026963811.1 (stored 2605 different covered positions)
Writing cytosine report for chromosome NW_026963812.1 (stored 1029 different covered positions)
Writing cytosine report for last chromosome NW_026963814.1 (stored 75 different covered positions)
Finished writing out cytosine report for covered chromosomes (processed 498 chromosomes/scaffolds in total)

Now processing chromosomes that were not covered by any methylation calls in the coverage file...
Writing cytosine report for not covered chromosome NW_026963328.1
Writing cytosine report for not covered chromosome NW_026963353.1
Writing cytosine report for not covered chromosome NW_026963454.1
Writing cytosine report for not covered chromosome NW_026963464.1
Writing cytosine report for not covered chromosome NW_026963465.1
Writing cytosine report for not covered chromosome NW_026963466.1
Writing cytosine report for not covered chromosome NW_026963469.1
Writing cytosine report for not covered chromosome NW_026963478.1
Writing cytosine report for not covered chromosome NW_026963483.1
Writing cytosine report for not covered chromosome NW_026963485.1
Writing cytosine report for not covered chromosome NW_026963510.1
Writing cytosine report for not covered chromosome NW_026963511.1
Writing cytosine report for not covered chromosome NW_026963522.1
Writing cytosine report for not covered chromosome NW_026963529.1
Writing cytosine report for not covered chromosome NW_026963536.1
Writing cytosine report for not covered chromosome NW_026963566.1
Writing cytosine report for not covered chromosome NW_026963578.1
Writing cytosine report for not covered chromosome NW_026963586.1
Writing cytosine report for not covered chromosome NW_026963592.1
Writing cytosine report for not covered chromosome NW_026963597.1
Writing cytosine report for not covered chromosome NW_026963602.1
Writing cytosine report for not covered chromosome NW_026963606.1
Writing cytosine report for not covered chromosome NW_026963615.1
Writing cytosine report for not covered chromosome NW_026963616.1
Writing cytosine report for not covered chromosome NW_026963619.1
Writing cytosine report for not covered chromosome NW_026963630.1
Writing cytosine report for not covered chromosome NW_026963643.1
Writing cytosine report for not covered chromosome NW_026963651.1
Writing cytosine report for not covered chromosome NW_026963678.1
Writing cytosine report for not covered chromosome NW_026963714.1
Writing cytosine report for not covered chromosome NW_026963724.1
Writing cytosine report for not covered chromosome NW_026963729.1
Writing cytosine report for not covered chromosome NW_026963740.1
Writing cytosine report for not covered chromosome NW_026963763.1
Writing cytosine report for not covered chromosome NW_026963774.1
Writing cytosine report for not covered chromosome NW_026963775.1
Writing cytosine report for not covered chromosome NW_026963791.1
Writing cytosine report for not covered chromosome NW_026963792.1
Writing cytosine report for not covered chromosome NW_026963799.1
Writing cytosine report for not covered chromosome NW_026963809.1
Writing cytosine report for not covered chromosome NW_026963810.1
Writing cytosine report for not covered chromosome NW_026963813.1
Writing cytosine report for not covered chromosome NW_026963815.1
Finished writing out cytosine report (processed 541 chromosomes/scaffolds in total). coverage2cytosine processing complete.

Now merging top and bottom strand CpGs into a single CG dinucleotide entity (reading from file >>output/25-meth-extract/93M.CpG_report.txt<<, in output directory '')
>>> Writing a new coverage file with top and bottom strand CpG methylation evidence merged to output/25-meth-extract/93M.CpG_report.merged_CpG_evidence.cov <<<

CpG merging complete. Good luck finding DMRs with bsseq!

